"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Year","Month","Avg_Price_Land","No_sold","no_sold_pr","new_count_prop","percent_new"
"1","Abbotsford","25 Bloomburg St",2,"h",1035000,"Property Sold","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra",-37.8079,144.9934,"Northern Metropolitan",4019,4,2,6634.61538461538,1,5,6507,213
"2","Abbotsford","5 Charles St",3,"h",1465000,"Sold Prior","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra",-37.8093,144.9944,"Northern Metropolitan",4019,4,3,10932.8358208955,1,101,1079,213
"3","Abbotsford","55a Park St",4,"h",1600000,"Vendor Bid","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941,"Northern Metropolitan",4019,4,6,13333.3333333333,1,45,728,817
"4","Abbotsford","124 Yarra St",3,"h",1876000,"Property Sold","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra",-37.8024,144.9993,"Northern Metropolitan",4019,7,5,7657.14285714286,1,65,6507,817
"5","Abbotsford","98 Charles St",2,"h",1636000,"Property Sold","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra",-37.806,144.9954,"Northern Metropolitan",4019,8,10,6390.625,1,96,6507,817
"6","Abbotsford","10 Valiant St",2,"h",1097000,"Property Sold","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra",-37.801,144.9989,"Northern Metropolitan",4019,8,10,4986.36363636364,1,96,6507,213
"7","Abbotsford","40 Nicholson St",3,"h",1350000,"Vendor Bid","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra",-37.8085,144.9964,"Northern Metropolitan",4019,12,11,6308.41121495327,1,82,728,817
"8","Abbotsford","123/56 Nicholson St",2,"u",750000,"Property Sold","Biggin","12/11/2016",2.5,3067,2,2,1,0,94,2009,"Yarra",-37.8078,144.9965,"Northern Metropolitan",4019,12,11,Inf,1,82,1792,213
"9","Abbotsford","16 William St",2,"h",1310000,"Property Sold","Jellis","15/10/2016",2.5,3067,2,1,2,238,97,1890,"Yarra",-37.809,144.9976,"Northern Metropolitan",4019,15,10,5504.20168067227,1,84,6507,701
"10","Abbotsford","42 Henry St",3,"h",1200000,"Property Sold","Jellis","16/07/2016",2.5,3067,3,2,1,113,110,1880,"Yarra",-37.8056,144.993,"Northern Metropolitan",4019,16,7,10619.4690265487,1,39,6507,701
"11","Abbotsford","78 Yarra St",3,"h",1176500,"Property Sold","LITTLE","16/07/2016",2.5,3067,2,1,1,138,105,1890,"Yarra",-37.8021,144.9965,"Northern Metropolitan",4019,16,7,8525.36231884058,1,39,6507,18
"12","Abbotsford","42 Valiant St",2,"h",890000,"Property Sold","Biggin","17/09/2016",2.5,3067,2,1,1,150,73,1985,"Yarra",-37.8011,145.0004,"Northern Metropolitan",4019,17,9,5933.33333333333,1,66,6507,213
"13","Abbotsford","3/72 Charles St",4,"h",1330000,"Passed In","Kay","18/03/2017",2.5,3067,4,2,2,780,135,1900,"Yarra",-37.8073,144.9952,"Northern Metropolitan",4019,18,3,1705.12820512821,1,97,1069,63
"14","Abbotsford","6/219 Nicholson St",2,"u",5e+05,"Property Sold","Collins","18/06/2016",2.5,3067,2,1,1,0,60,1970,"Yarra",-37.8015,144.9972,"Northern Metropolitan",4019,18,6,Inf,1,77,1792,24
"15","Abbotsford","52a William St",2,"h",1100000,"Passed In","Biggin","18/06/2016",2.5,3067,2,2,1,124,135,2013,"Yarra",-37.8079,144.9977,"Northern Metropolitan",4019,18,6,8870.96774193548,1,77,1069,213
"16","Abbotsford","49 Park St",2,"h",1315000,"Property Sold","Marshall","19/11/2016",2.5,3067,2,1,0,147,85,1900,"Yarra",-37.808,144.994,"Northern Metropolitan",4019,19,11,8945.57823129252,1,79,6507,347
"17","Abbotsford","48 Abbotsford St",3,"h",1447500,"Passed In","Nelson","22/08/2016",2.5,3067,3,3,1,166,174,2012,"Yarra",-37.8017,145.0001,"Northern Metropolitan",4019,22,8,8719.87951807229,1,72,1069,817
"18","Abbotsford","159 Park St",2,"h",1135000,"Property Sold","Nelson","22/08/2016",2.5,3067,2,2,2,98,128,1920,"Yarra",-37.8005,144.9952,"Northern Metropolitan",4019,22,8,11581.6326530612,1,72,6507,817
